S05S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
013-01-C1-G\LM_EXBX\7.7DFX_Jet      9.59e-09   1507.0   1.36e-06
013-01-C1-G\LM_EXBX\7.7DFO_Jet      9.54e-11   1507.0   1.36e-06
013-01-C1-G\LM_EXBO\7.7DFO_Jet      1.90e-08   1439.3   1.37e-06
020-02-02-G\LM_EXBX\14.5DFX_Jet     1.13e-09   1429.4   1.38e-06
020-02-02-G\LM_EXBX\14.5DFO_Jet     1.08e-12   1429.4   1.38e-06
013-01-C1-G\LM_EXBX\2.9FFX_Jet      9.89e-09   1406.6   1.39e-06
013-01-C1-G\LM_EXBX\2.9FFO_Jet      9.84e-11   1406.6   1.39e-06
020-01-01-G\ME_EOBO\7.7DFO_Jet      3.19e-06   1392.2   4.58e-06
013-01-C1-G\LM_EXBO\2.9FFO_Jet      1.96e-08   1344.2   4.60e-06
020-02-02-G\LM_EXBX\7.7DFX_Jet      1.21e-08   1335.6   4.61e-06
020-02-02-G\LM_EXBX\7.7DFO_Jet      1.15e-11   1335.6   4.61e-06
020-05-01-G\ME_EXBX\2.9FFX_Jet      6.67e-09   1263.3   4.62e-06
020-05-01-G\ME_EXBX\2.9FFO_Jet      3.17e-11   1263.3   4.62e-06
020-02-02-G\LM_EOBX\14.5DFO_Jet     1.06e-10   1263.0   4.62e-06
020-01-01-G\ME_EOBO\2.9FFO_Jet      3.29e-06   1236.0   7.91e-06
020-02-02-G\LM_EOBX\7.7DFO_Jet      1.14e-09   1181.4   7.91e-06
020-05-01-G\ME_EXBO\14.5DFO_Jet     5.70e-10   1040.8   7.91e-06
020-02-01-Li\ME_EXBN\14.5DFX_Jet    4.07e-09   1023.2   7.92e-06
020-02-01-Li\ME_EXBN\14.5DFO_Jet    9.72e-08   1023.2   8.01e-06
020-02-01-Li\ME_EXBN\7.7DFX_Jet     4.36e-08   1023.2   8.06e-06
020-02-01-Li\ME_EXBN\7.7DFO_Jet     1.04e-06   1023.2   9.10e-06
