S05P04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
020-02-02-G\LM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-02-01-Li\SM_EXBN\14.5DFX_Jet    0.00e+00      0.0   9.27e-05
020-02-01-Li\SM_EXBN\14.5DFO_Jet    0.00e+00      0.0   9.27e-05
020-02-01-Li\SM_EXBN\7.7DFX_Jet     0.00e+00      0.0   9.27e-05
020-02-01-Li\SM_EXBN\7.7DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-01-Li\SM_EXBN\2.9FFX_Jet     0.00e+00      0.0   9.27e-05
020-02-01-Li\SM_EXBN\2.9FFO_Jet     0.00e+00      0.0   9.27e-05
020-02-01-Li\SM_EOBN\14.5DFO_Jet    0.00e+00      0.0   9.27e-05
020-02-01-Li\SM_EOBN\7.7DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-01-Li\SM_EOBN\2.9FFO_Jet     0.00e+00      0.0   9.27e-05
020-01-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   9.27e-05
020-01-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-01-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   9.27e-05
020-01-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-01-02-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   9.27e-05
020-01-02-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-01-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-01-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-01-02-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-01-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C2-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-C1-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N2-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
013-01-N1-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
