P04S03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
024-02-G-DA\LM_EXBO\2.9FFO_Jet      4.90e-08    568.1   1.88e-05
025-01-01-G\ME_EOBO\14.5DFO_Jet     3.21e-07    557.0   1.92e-05
025-01-01-G\LM_EXBX\2.9FFX_Jet      1.09e-08    554.0   1.92e-05
025-01-01-G\LM_EXBX\2.9FFO_Jet      2.16e-10    554.0   1.92e-05
025-01-01-G\LM_EXBO\7.7DFO_Jet      4.18e-08    553.4   1.92e-05
025-02-01-G\LM_EXBO\2.9FFO_Jet      1.23e-07    545.0   1.93e-05
025-01-01-G\LM_EXBO\2.9FFO_Jet      4.31e-08    517.4   1.94e-05
024-03-01-G\ME_EOBO\2.9FFO_Jet      1.91e-06    516.9   2.13e-05
024-02-G-DC\ME_EOBO\2.9FFO_Jet      1.48e-06    515.7   2.28e-05
024-02-G-DB\ME_EOBO\2.9FFO_Jet      1.48e-06    515.7   2.43e-05
024-02-G-DA\ME_EOBO\2.9FFO_Jet      4.44e-06    515.7   2.87e-05
025-02-01-G\ME_EOBO\2.9FFO_Jet      6.77e-06    509.9   3.55e-05
025-01-01-G\ME_EOBX\2.9FFO_Jet      1.78e-08    507.4   3.55e-05
025-01-01-G\ME_EOBO\7.7DFO_Jet      3.44e-06    459.9   3.89e-05
024-03-01-G\LM_EXBX\14.5DFX_Jet     5.41e-10    453.6   3.89e-05
024-03-01-G\LM_EXBX\14.5DFO_Jet     1.62e-11    453.6   3.89e-05
025-02-02-L\LM_EXBN\2.9FFX_Jet      7.46e-09    438.8   3.89e-05
025-02-02-L\LM_EXBN\2.9FFO_Jet      1.42e-09    438.8   3.89e-05
024-03-01-G\LM_EXBO\14.5DFO_Jet     3.22e-09    430.6   3.89e-05
024-03-01-G\LM_EXBX\7.7DFX_Jet      5.80e-09    416.6   3.89e-05
024-03-01-G\LM_EXBX\7.7DFO_Jet      1.73e-10    416.6   3.89e-05
024-03-01-G\LM_EOBX\14.5DFO_Jet     5.23e-10    414.6   3.89e-05
025-02-01-G\LM_EOBX\14.5DFO_Jet     1.81e-09    414.3   3.89e-05
024-02-G-DC\LM_EOBX\14.5DFO_Jet     3.64e-10    413.8   3.89e-05
